Cohort,MOB,Period Collection,Cohort Total Advance,Payment MOIC,Cumulative Collection,Cumulative MOIC
2024-09,2,92654.0,408306,0.22692294504611737,222195.0,0.544187447649557
2024-09,3,100166.0,408306,0.24532091127732633,322361.0,0.7895083589268833
2024-09,4,81333.0,408306,0.19919619109197514,403694.0,0.9887045500188584
2024-09,5,72168.0,408306,0.1767497905982278,475862.0,1.1654543406170863
2024-09,6,54070.0,408306,0.1324251909107385,529932.0,1.2978795315278246
2024-09,7,7500.0,408306,0.018368576508794875,537432.0,1.3162481080366195
2024-09,8,9500.0,408306,0.02326686357780684,546932.0,1.3395149716144263
2024-09,9,4400.0,408306,0.010776231551826327,551332.0,1.3502912031662528
2024-09,10,3000.0,408306,0.0073474306035179494,554332.0,1.3576386337697708
2024-09,12,4325.0,408306,0.010592545786738378,558657.0,1.3682311795565092
2024-09,13,4000.0,408306,0.009796574138023933,562657.0,1.3780277536945331
2024-09,14,4000.0,408306,0.009796574138023933,566657.0,1.387824327832557
2024-09,17,1000.0,408306,0.0024491435345059833,567657.0,1.390273471367063
2024-10,0,41032.0,461204,0.08896713818613888,41032.0,0.08896713818613888
2024-10,1,114210.0,461204,0.2476344524331966,155242.0,0.3366015906193355
2024-10,2,120938.0,461204,0.2622223571348037,276180.0,0.5988239477541392
2024-10,3,100914.0,461204,0.218805561096608,377094.0,0.8176295088507471
2024-10,4,79770.0,461204,0.17296033859203302,456864.0,0.9905898474427802
2024-10,5,73980.0,461204,0.16040624105601858,530844.0,1.1509960884987989
2024-10,6,33204.0,461204,0.0719941717764807,564048.0,1.2229902602752796
2024-10,7,13977.0,461204,0.030305461357663852,578025.0,1.2532957216329434
2024-10,8,1000.0,461204,0.002168237916410092,579025.0,1.2554639595493535
2024-10,9,5206.0,461204,0.011287846592830938,584231.0,1.2667518061421843
2024-10,10,10819.0,461204,0.023458166017640784,595050.0,1.2902099721598252
2024-10,11,3000.0,461204,0.0065047137492302756,598050.0,1.2967146859090555
2024-10,13,4800.0,461204,0.01040754199876844,602850.0,1.3071222279078238
2024-10,14,7680.0,461204,0.016652067198029506,610530.0,1.3237742951058533
2024-10,15,3560.0,461204,0.007718926982419927,614090.0,1.3314932220882734
2024-11,0,51935.0,616648,0.0842214683255277,51935.0,0.0842214683255277
2024-11,1,123158.0,616648,0.19972172130615845,175093.0,0.28394318963168613
2024-11,2,110233.0,616648,0.17876162737899093,285326.0,0.46270481701067706
2024-11,3,89988.0,616648,0.14593090385438695,375314.0,0.608635720865064
2024-11,4,81104.0,616648,0.13152398126645995,456418.0,0.7401597021315239
2024-11,5,45403.0,616648,0.07362871524759669,501821.0,0.8137884173791207
2024-11,6,29362.0,616648,0.0476154953879685,531183.0,0.8614039127670892
2024-11,7,28677.0,616648,0.04650465095159637,559860.0,0.9079085637186856
2024-11,8,16639.0,616648,0.0269829789442275,576499.0,0.9348915426629131
2024-11,9,30772.0,616648,0.04990205108911405,607271.0,0.9847935937520271
2024-11,10,18560.0,616648,0.030098208378199556,625831.0,1.0148918021302267
2024-11,11,8378.0,616648,0.01358635720865064,634209.0,1.0284781593388772
2024-11,12,17042.0,616648,0.02763651224037052,651251.0,1.0561146715792478
2024-11,13,2000.0,616648,0.0032433414200646075,653251.0,1.0593580129993123
2024-11,14,4000.0,616648,0.006486682840129215,657251.0,1.0658446958394416
2024-11,15,4700.0,616648,0.007621852337151827,661951.0,1.0734665481765935
2024-12,0,28814.0,249448,0.11551104839485585,28814.0,0.11551104839485585
2024-12,1,41136.0,249448,0.16490811712260672,69950.0,0.28041916551746254
2024-12,2,44841.0,249448,0.17976091209390335,114791.0,0.4601800776113659
2024-12,3,29281.0,249448,0.11738318206600173,144072.0,0.5775632596773677
2024-12,4,12408.0,249448,0.0497418299605529,156480.0,0.6273050896379205
2024-12,5,8529.0,249448,0.03419149482056381,165009.0,0.6614965844584844
2024-12,6,4114.0,249448,0.016492415252878357,169123.0,0.6779889997113627
2024-12,7,8352.0,249448,0.033481928097238704,177475.0,0.7114709278086014
2024-12,8,1220.0,249448,0.00489079888393573,178695.0,0.7163617266925372
2024-12,9,12375.0,249448,0.04960953785959398,191070.0,0.7659712645521312
2024-12,10,17500.0,249448,0.07015490202366825,208570.0,0.8361261665757994
2024-12,11,11396.0,249448,0.04568487219781277,219966.0,0.8818110387736121
2024-12,12,15340.0,249448,0.061495782688175495,235306.0,0.9433068214617877
2024-12,13,17014.0,249448,0.06820660017318239,252320.0,1.01151342163497
2024-12,14,4000.0,249448,0.01603540617683846,256320.0,1.0275488278118086
2024-12,15,2900.0,249448,0.011625669478207883,259220.0,1.0391744972900163
2025-09,0,1160.0,9749,0.11898656272438199,1160.0,0.11898656272438199
2025-09,1,1111.0,9749,0.11396040619550724,2271.0,0.23294696891988922
2025-09,2,3462.0,9749,0.35511334495845726,5733.0,0.5880603138783465
2025-09,4,5287.0,9749,0.5423120320032824,11020.0,1.1303723458816288
2025-09,5,580.0,9749,0.059493281362190994,11600.0,1.18986562724382
2025-09,12,580.0,9749,0.059493281362190994,12180.0,1.2493589086060108
2025-10,2,1500.0,8249,0.1818402230573403,1500.0,0.1818402230573403
2025-10,3,1940.0,8249,0.23518002182082676,3440.0,0.417020244878167
2025-10,4,1950.0,8249,0.23639228997454237,5390.0,0.6534125348527094
2025-10,25,2000.0,8249,0.24245363074312037,7390.0,0.8958661655958298
2026-01,2,2913.0,16499,0.1765561549184799,2913.0,0.1765561549184799
