Asset ID,Origination Date,Total Advance,Total EMI,Payment Date,Payment Amount
729,2024-02-27,16100,21390,2024-04-16,892.0
729,2024-02-27,16100,21390,2024-04-23,892.0
729,2024-02-27,16100,21390,2024-04-30,892.0
729,2024-02-27,16100,21390,2024-05-07,892.0
729,2024-02-27,16100,21390,2024-05-14,892.0
729,2024-02-27,16100,21390,2024-05-21,892.0
729,2024-02-27,16100,21390,2024-05-28,892.0
729,2024-02-27,16100,21390,2024-06-04,892.0
729,2024-02-27,16100,21390,2024-06-11,892.0
729,2024-02-27,16100,21390,2024-06-18,891.0
729,2024-02-27,16100,21390,2024-06-25,891.0
729,2024-02-27,16100,21390,2024-07-02,891.0
729,2024-02-27,16100,21390,2024-07-09,891.0
729,2024-02-27,16100,21390,2024-07-16,891.0
729,2024-02-27,16100,21390,2024-07-23,0.0
729,2024-02-27,16100,21390,2024-07-30,1000.0
729,2024-02-27,16100,21390,2024-08-06,1000.0
729,2024-02-27,16100,21390,2024-08-13,1555.0
730,2024-02-27,11200,14880,2024-03-05,620.0
730,2024-02-27,11200,14880,2024-03-12,620.0
730,2024-02-27,11200,14880,2024-03-19,620.0
730,2024-02-27,11200,14880,2024-03-26,620.0
730,2024-02-27,11200,14880,2024-04-02,620.0
730,2024-02-27,11200,14880,2024-04-09,620.0
730,2024-02-27,11200,14880,2024-04-16,620.0
730,2024-02-27,11200,14880,2024-04-23,620.0
730,2024-02-27,11200,14880,2024-04-30,620.0
730,2024-02-27,11200,14880,2024-05-07,620.0
730,2024-02-27,11200,14880,2024-05-14,620.0
730,2024-02-27,11200,14880,2024-05-21,620.0
730,2024-02-27,11200,14880,2024-05-28,620.0
730,2024-02-27,11200,14880,2024-06-04,620.0
730,2024-02-27,11200,14880,2024-06-11,620.0
730,2024-02-27,11200,14880,2024-06-18,620.0
730,2024-02-27,11200,14880,2024-06-25,620.0
730,2024-02-27,11200,14880,2024-07-02,620.0
730,2024-02-27,11200,14880,2024-07-09,620.0
730,2024-02-27,11200,14880,2024-07-16,620.0
730,2024-02-27,11200,14880,2024-07-23,0.0
730,2024-02-27,11200,14880,2024-07-30,1240.0
730,2024-02-27,11200,14880,2024-08-06,620.0
730,2024-02-27,11200,14880,2024-08-13,620.0
731,2024-02-27,8400,11220,2024-03-05,468.0
731,2024-02-27,8400,11220,2024-03-12,468.0
731,2024-02-27,8400,11220,2024-03-19,468.0
731,2024-02-27,8400,11220,2024-03-26,468.0
731,2024-02-27,8400,11220,2024-04-02,468.0
731,2024-02-27,8400,11220,2024-04-09,468.0
731,2024-02-27,8400,11220,2024-04-16,467.0
731,2024-02-27,8400,11220,2024-04-23,467.0
731,2024-02-27,8400,11220,2024-04-30,468.0
731,2024-02-27,8400,11220,2024-05-07,470.0
731,2024-02-27,8400,11220,2024-05-14,468.0
731,2024-02-27,8400,11220,2024-05-21,468.0
731,2024-02-27,8400,11220,2024-05-28,500.0
731,2024-02-27,8400,11220,2024-06-04,500.0
731,2024-02-27,8400,11220,2024-06-11,500.0
731,2024-02-27,8400,11220,2024-06-18,460.0
731,2024-02-27,8400,11220,2024-06-25,500.0
731,2024-02-27,8400,11220,2024-07-02,500.0
731,2024-02-27,8400,11220,2024-07-09,2644.0
733,2024-03-03,7800,10440,2024-03-10,435.0
733,2024-03-03,7800,10440,2024-03-17,435.0
733,2024-03-03,7800,10440,2024-03-24,435.0
733,2024-03-03,7800,10440,2024-03-31,435.0
733,2024-03-03,7800,10440,2024-04-07,435.0
733,2024-03-03,7800,10440,2024-04-14,435.0
733,2024-03-03,7800,10440,2024-04-21,435.0
733,2024-03-03,7800,10440,2024-04-28,435.0
733,2024-03-03,7800,10440,2024-05-05,435.0
733,2024-03-03,7800,10440,2024-05-12,435.0
733,2024-03-03,7800,10440,2024-05-19,435.0
733,2024-03-03,7800,10440,2024-05-26,435.0
733,2024-03-03,7800,10440,2024-06-02,435.0
733,2024-03-03,7800,10440,2024-06-09,435.0
733,2024-03-03,7800,10440,2024-06-16,435.0
733,2024-03-03,7800,10440,2024-06-23,435.0
733,2024-03-03,7800,10440,2024-06-30,435.0
733,2024-03-03,7800,10440,2024-07-07,435.0
733,2024-03-03,7800,10440,2024-07-14,435.0
733,2024-03-03,7800,10440,2024-07-21,0.0
733,2024-03-03,7800,10440,2024-07-28,435.0
733,2024-03-03,7800,10440,2024-08-04,870.0
733,2024-03-03,7800,10440,2024-08-11,435.0
733,2024-03-03,7800,10440,2024-08-18,435.0
734,2024-03-03,21450,28215,2024-03-10,1176.0
734,2024-03-03,21450,28215,2024-03-17,1176.0
734,2024-03-03,21450,28215,2024-03-24,1176.0
734,2024-03-03,21450,28215,2024-03-31,1176.0
734,2024-03-03,21450,28215,2024-04-07,1176.0
734,2024-03-03,21450,28215,2024-04-14,1176.0
734,2024-03-03,21450,28215,2024-04-21,1176.0
734,2024-03-03,21450,28215,2024-04-28,1176.0
734,2024-03-03,21450,28215,2024-05-05,1176.0
734,2024-03-03,21450,28215,2024-05-12,1176.0
734,2024-03-03,21450,28215,2024-05-19,1176.0
734,2024-03-03,21450,28215,2024-05-26,1176.0
734,2024-03-03,21450,28215,2024-06-02,1176.0
734,2024-03-03,21450,28215,2024-06-09,1176.0
734,2024-03-03,21450,28215,2024-06-16,1176.0
734,2024-03-03,21450,28215,2024-06-23,1176.0
734,2024-03-03,21450,28215,2024-06-30,1176.0
734,2024-03-03,21450,28215,2024-07-07,1176.0
734,2024-03-03,21450,28215,2024-07-14,1176.0
734,2024-03-03,21450,28215,2024-07-21,0.0
734,2024-03-03,21450,28215,2024-07-28,1600.0
734,2024-03-03,21450,28215,2024-08-04,1400.0
734,2024-03-03,21450,28215,2024-08-11,1250.0
734,2024-03-03,21450,28215,2024-10-28,1621.0
735,2024-03-04,9520,12720,2024-03-11,530.0
735,2024-03-04,9520,12720,2024-03-18,530.0
735,2024-03-04,9520,12720,2024-03-25,530.0
735,2024-03-04,9520,12720,2024-04-01,530.0
735,2024-03-04,9520,12720,2024-04-08,530.0
735,2024-03-04,9520,12720,2024-04-15,530.0
735,2024-03-04,9520,12720,2024-04-22,530.0
735,2024-03-04,9520,12720,2024-04-29,530.0
735,2024-03-04,9520,12720,2024-05-06,0.0
735,2024-03-04,9520,12720,2024-05-13,0.0
735,2024-03-04,9520,12720,2024-05-20,0.0
735,2024-03-04,9520,12720,2024-05-27,0.0
735,2024-03-04,9520,12720,2024-06-03,0.0
735,2024-03-04,9520,12720,2024-06-10,0.0
735,2024-03-04,9520,12720,2024-06-17,0.0
735,2024-03-04,9520,12720,2024-06-24,0.0
735,2024-03-04,9520,12720,2024-07-01,0.0
735,2024-03-04,9520,12720,2024-07-08,0.0
735,2024-03-04,9520,12720,2024-07-15,3180.0
735,2024-03-04,9520,12720,2024-07-22,0.0
735,2024-03-04,9520,12720,2024-07-29,0.0
735,2024-03-04,9520,12720,2024-08-05,0.0
735,2024-03-04,9520,12720,2024-08-12,2120.0
735,2024-03-04,9520,12720,2024-08-19,1060.0
735,2024-03-04,9520,12720,2024-08-26,0.0
735,2024-03-04,9520,12720,2024-09-02,2000.0
735,2024-03-04,9520,12720,2024-09-09,0.0
735,2024-03-04,9520,12720,2024-09-16,520.0
736,2024-03-04,11920,15835,2024-03-11,660.0
736,2024-03-04,11920,15835,2024-03-18,660.0
736,2024-03-04,11920,15835,2024-03-25,660.0
736,2024-03-04,11920,15835,2024-04-01,660.0
736,2024-03-04,11920,15835,2024-04-08,660.0
736,2024-03-04,11920,15835,2024-04-15,660.0
736,2024-03-04,11920,15835,2024-04-22,660.0
736,2024-03-04,11920,15835,2024-04-29,660.0
736,2024-03-04,11920,15835,2024-05-06,660.0
736,2024-03-04,11920,15835,2024-05-13,660.0
736,2024-03-04,11920,15835,2024-05-20,660.0
736,2024-03-04,11920,15835,2024-05-27,660.0
736,2024-03-04,11920,15835,2024-06-03,660.0
736,2024-03-04,11920,15835,2024-06-10,660.0
736,2024-03-04,11920,15835,2024-06-17,660.0
736,2024-03-04,11920,15835,2024-06-24,660.0
736,2024-03-04,11920,15835,2024-07-01,660.0
736,2024-03-04,11920,15835,2024-07-08,660.0
736,2024-03-04,11920,15835,2024-07-15,660.0
736,2024-03-04,11920,15835,2024-07-22,0.0
736,2024-03-04,11920,15835,2024-07-29,900.0
736,2024-03-04,11920,15835,2024-08-05,0.0
736,2024-03-04,11920,15835,2024-08-12,1200.0
736,2024-03-04,11920,15835,2024-08-19,1195.0
737,2024-03-04,10580,14030,2024-03-11,585.0
737,2024-03-04,10580,14030,2024-03-18,585.0
737,2024-03-04,10580,14030,2024-03-25,585.0
737,2024-03-04,10580,14030,2024-04-01,585.0
737,2024-03-04,10580,14030,2024-04-08,585.0
737,2024-03-04,10580,14030,2024-04-15,585.0
737,2024-03-04,10580,14030,2024-04-22,585.0
737,2024-03-04,10580,14030,2024-04-29,585.0
737,2024-03-04,10580,14030,2024-05-06,585.0
737,2024-03-04,10580,14030,2024-05-13,585.0
737,2024-03-04,10580,14030,2024-05-20,585.0
737,2024-03-04,10580,14030,2024-05-27,585.0
737,2024-03-04,10580,14030,2024-06-03,585.0
737,2024-03-04,10580,14030,2024-06-10,585.0
737,2024-03-04,10580,14030,2024-06-17,585.0
737,2024-03-04,10580,14030,2024-06-24,585.0
737,2024-03-04,10580,14030,2024-07-01,585.0
737,2024-03-04,10580,14030,2024-07-08,585.0
737,2024-03-04,10580,14030,2024-07-15,585.0
737,2024-03-04,10580,14030,2024-07-22,0.0
737,2024-03-04,10580,14030,2024-07-29,700.0
737,2024-03-04,10580,14030,2024-08-05,585.0
737,2024-03-04,10580,14030,2024-08-12,1630.0
738,2024-03-04,9520,12720,2024-03-11,530.0
738,2024-03-04,9520,12720,2024-03-18,530.0
738,2024-03-04,9520,12720,2024-03-25,530.0
738,2024-03-04,9520,12720,2024-04-01,530.0
738,2024-03-04,9520,12720,2024-04-08,530.0
738,2024-03-04,9520,12720,2024-04-15,530.0
738,2024-03-04,9520,12720,2024-04-22,530.0
738,2024-03-04,9520,12720,2024-04-29,530.0
738,2024-03-04,9520,12720,2024-05-06,530.0
738,2024-03-04,9520,12720,2024-05-13,530.0
738,2024-03-04,9520,12720,2024-05-20,530.0
738,2024-03-04,9520,12720,2024-05-27,530.0
738,2024-03-04,9520,12720,2024-06-03,530.0
738,2024-03-04,9520,12720,2024-06-10,530.0
738,2024-03-04,9520,12720,2024-06-17,530.0
738,2024-03-04,9520,12720,2024-06-24,530.0
738,2024-03-04,9520,12720,2024-07-01,530.0
738,2024-03-04,9520,12720,2024-07-08,530.0
738,2024-03-04,9520,12720,2024-07-15,530.0
738,2024-03-04,9520,12720,2024-07-22,0.0
